company_id,company_name,broad_sector,cluster_id,cluster_name,distance_from_centroid
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,3,Distressed or Turnaround,1.4798
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,3,Distressed or Turnaround,1.218
INDIGO,Interglobe Aviation Ltd,Consumer Discretionary,3,Distressed or Turnaround,1.1462
INDUSINDBK,IndusInd Bank Ltd,Financials,2,Value Cyclicals,1.5223
INFY,Infosys Ltd,Information Technology,1,Defensive Dividend Payers,1.0413
IOC,"Indian Oil Corporation
",Energy,1,Defensive Dividend Payers,0.6655
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,1,Defensive Dividend Payers,1.2258
IRFC,Indian Railway Finance Corporation Ltd,Financials,2,Value Cyclicals,2.2008
ITC,"ITC Ltd
",Consumer Staples,1,Defensive Dividend Payers,0.8652
JINDALSTEL,Jindal Steel & Power Ltd,Materials,1,Defensive Dividend Payers,0.3478
JIOFIN,Jio Financial Services Ltd,Financials,3,Distressed or Turnaround,0.7296
JSWENERGY,JSW Energy Ltd,Energy,1,Defensive Dividend Payers,1.1581
JSWSTEEL,JSW Steel Ltd,Materials,1,Defensive Dividend Payers,0.9918
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Financials,3,Distressed or Turnaround,1.2964
LICI,Life Insurance Corporation of India,Financials,1,Defensive Dividend Payers,0.7567
LODHA,Macrotech Developers Ltd,Real Estate,1,Defensive Dividend Payers,1.7255
LT,Larsen & Toubro Ltd,Industrials,1,Defensive Dividend Payers,0.7416
LTIM,LTIMindtree Ltd,Information Technology,4,Emerging Growth,0.9795
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,1,Defensive Dividend Payers,1.3266
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,1,Defensive Dividend Payers,0.6541
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,1,Defensive Dividend Payers,0.8009
NAUKRI,Info Edge (India) Ltd,Communication Services,1,Defensive Dividend Payers,1.0076
NHPC,"NHPC Ltd
",Energy,3,Distressed or Turnaround,1.0186
NTPC,NTPC Ltd,Energy,1,Defensive Dividend Payers,0.993
ONGC,Oil & Natural Gas Corpn Ltd,Energy,1,Defensive Dividend Payers,0.5498
PFC,Power Finance Corporation Ltd,Financials,2,Value Cyclicals,1.8657
PIDILITIND,Pidilite Industries Ltd,Materials,1,Defensive Dividend Payers,0.4263
PNB,Punjab National Bank,Financials,1,Defensive Dividend Payers,1.7981
POWERGRID,Power Grid Corporation of India Ltd,Energy,3,Distressed or Turnaround,1.4254
RECLTD,REC Ltd,Financials,2,Value Cyclicals,1.9371
RELIANCE,"Reliance Industries Ltd
",Energy,1,Defensive Dividend Payers,1.1639
SBILIFE,SBI Life Insurance Company Ltd,Financials,1,Defensive Dividend Payers,1.2
SBIN,State Bank of India,Financials,2,Value Cyclicals,3.2922
SHREECEM,Shree Cement Ltd,Materials,1,Defensive Dividend Payers,0.3094
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,1,Defensive Dividend Payers,1.5202
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,1,Defensive Dividend Payers,0.5181
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,1,Defensive Dividend Payers,0.5443
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,1,Defensive Dividend Payers,1.6098
TATAPOWER,"Tata Power Company Ltd
",Energy,1,Defensive Dividend Payers,0.6266
TATASTEEL,"Tata Steel Ltd
",Materials,1,Defensive Dividend Payers,0.3948
TCS,Tata Consultancy Services Ltd,Information Technology,1,Defensive Dividend Payers,1.9091
TECHM,Tech Mahindra Ltd,Information Technology,1,Defensive Dividend Payers,0.2943
TITAN,"Titan Company Ltd
",Consumer Discretionary,1,Defensive Dividend Payers,1.1771
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,1,Defensive Dividend Payers,0.5184
TRENT,Trent Ltd,Consumer Discretionary,4,Emerging Growth,0.3888
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,1,Defensive Dividend Payers,1.2184
